referrer,views_total,views_unique
Google,214,54
quantumai.google,138,45
github.com,51,30
Bing,41,8
search.brave.com,14,1
DuckDuckGo,9,2
facebook.com,8,8
chatgpt.com,6,5
cn.bing.com,3,3
m.baidu.com,3,3
