referrer,views_total,views_unique
Google,160,50
quantumai.google,129,42
Bing,48,6
github.com,46,23
search.brave.com,14,1
DuckDuckGo,9,2
facebook.com,8,8
chatgpt.com,5,4
m.baidu.com,3,3
zenodo.org,3,1
