referrer,views_total,views_unique
Google,175,57
quantumai.google,141,44
github.com,56,27
Bing,52,4
search.brave.com,14,1
DuckDuckGo,9,2
facebook.com,8,8
chatgpt.com,5,4
colab.research.google.com,5,1
zenodo.org,3,1
