referrer,views_total,views_unique
Google,157,53
quantumai.google,125,39
github.com,47,24
Bing,46,4
search.brave.com,14,1
DuckDuckGo,9,2
facebook.com,8,8
chatgpt.com,5,4
colab.research.google.com,5,1
m.baidu.com,3,3
