referrer,views_total,views_unique
Google,181,54
quantumai.google,137,42
github.com,51,25
Bing,26,3
search.brave.com,14,1
DuckDuckGo,9,2
facebook.com,8,8
chatgpt.com,8,6
colab.research.google.com,5,1
zenodo.org,3,1
