referrer,views_total,views_unique
Google,212,60
quantumai.google,156,48
Bing,49,7
github.com,48,25
search.brave.com,14,1
DuckDuckGo,9,2
facebook.com,8,8
chatgpt.com,5,4
m.baidu.com,3,3
zenodo.org,3,1
