referrer,views_total,views_unique
Google,223,54
quantumai.google,123,43
Bing,41,8
github.com,40,24
search.brave.com,14,1
DuckDuckGo,9,2
facebook.com,8,8
chatgpt.com,5,4
m.baidu.com,4,4
cn.bing.com,3,3
