referrer,views_total,views_unique
Google,254,58
quantumai.google,123,43
Bing,40,7
github.com,38,18
search.brave.com,14,1
DuckDuckGo,10,3
youtube.com,9,1
facebook.com,8,8
chatgpt.com,4,3
cn.bing.com,3,3
