time_iso8601,forks_cumulative
2020-05-22 00:00:00+00:00,207
2020-06-02 00:00:00+00:00,208
2020-06-03 00:00:00+00:00,209
2020-06-10 00:00:00+00:00,210
2020-06-19 00:00:00+00:00,211
2020-06-29 00:00:00+00:00,212
2020-06-30 00:00:00+00:00,213
2020-07-02 00:00:00+00:00,214
2020-07-08 00:00:00+00:00,215
2020-07-11 00:00:00+00:00,216
2020-07-15 00:00:00+00:00,217
2020-07-27 00:00:00+00:00,218
2020-07-29 00:00:00+00:00,220
2020-07-30 00:00:00+00:00,221
2020-08-03 00:00:00+00:00,222
2020-08-08 00:00:00+00:00,223
2020-08-23 00:00:00+00:00,224
2020-08-25 00:00:00+00:00,225
2020-08-26 00:00:00+00:00,226
2020-08-28 00:00:00+00:00,232
2020-08-30 00:00:00+00:00,233
2020-09-01 00:00:00+00:00,234
2020-09-03 00:00:00+00:00,235
2020-09-14 00:00:00+00:00,236
2020-09-15 00:00:00+00:00,237
2020-09-19 00:00:00+00:00,238
2020-09-25 00:00:00+00:00,239
2020-10-30 00:00:00+00:00,240
2020-10-31 00:00:00+00:00,241
2020-11-03 00:00:00+00:00,242
2020-11-09 00:00:00+00:00,244
2020-11-13 00:00:00+00:00,245
2020-11-15 00:00:00+00:00,247
2020-12-03 00:00:00+00:00,248
2020-12-14 00:00:00+00:00,250
2020-12-31 00:00:00+00:00,251
2021-01-18 00:00:00+00:00,252
2021-02-06 00:00:00+00:00,253
2021-02-19 00:00:00+00:00,254
2021-02-23 00:00:00+00:00,255
2021-02-26 00:00:00+00:00,256
2021-03-07 00:00:00+00:00,257
2021-03-19 00:00:00+00:00,258
2021-04-06 00:00:00+00:00,259
2021-04-11 00:00:00+00:00,260
2021-04-18 00:00:00+00:00,261
2021-04-22 00:00:00+00:00,262
2021-04-29 00:00:00+00:00,263
2021-05-05 00:00:00+00:00,264
2021-05-10 00:00:00+00:00,265
2021-05-11 00:00:00+00:00,266
2021-05-22 00:00:00+00:00,267
2021-05-30 00:00:00+00:00,268
2021-06-17 00:00:00+00:00,269
2021-06-28 00:00:00+00:00,270
2021-07-10 00:00:00+00:00,271
2021-07-12 00:00:00+00:00,272
2021-07-21 00:00:00+00:00,273
2021-08-04 00:00:00+00:00,275
2021-08-05 00:00:00+00:00,276
2021-08-07 00:00:00+00:00,277
2021-08-15 00:00:00+00:00,278
2021-08-28 00:00:00+00:00,279
2021-09-11 00:00:00+00:00,280
2021-11-05 00:00:00+00:00,281
2021-11-13 00:00:00+00:00,282
2021-12-04 00:00:00+00:00,283
2021-12-12 00:00:00+00:00,284
2021-12-19 00:00:00+00:00,285
2022-01-02 00:00:00+00:00,286
2022-01-06 00:00:00+00:00,287
2022-01-31 00:00:00+00:00,288
2022-02-01 00:00:00+00:00,289
2022-02-09 00:00:00+00:00,290
2022-02-14 00:00:00+00:00,291
2022-03-01 00:00:00+00:00,292
2022-03-13 00:00:00+00:00,293
2022-03-29 00:00:00+00:00,295
2022-04-06 00:00:00+00:00,296
2022-04-18 00:00:00+00:00,297
2022-04-19 00:00:00+00:00,298
2022-04-26 00:00:00+00:00,299
2022-05-12 00:00:00+00:00,300
2022-05-20 00:00:00+00:00,302
2022-05-24 00:00:00+00:00,303
2022-05-25 00:00:00+00:00,304
2022-06-15 00:00:00+00:00,305
